Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,sell,other
2021-01-12,1087.0,1150.02,1006.33,1050.16,2302645.34052,1610495999999,2491067092.51012720,1516625,1149858.00491000,1244662146.28528080,0
2021-01-13,1050.36,1137.65,987.48,1129.89,1564202.39081,1610582399999,1664178969.07380440,1123983,792814.80569000,844656818.22553690,0
2021-01-14,1129.79,1247.55,1086.7,1231.62,1555737.38556,1610668799999,1825860914.17379550,1255769,794405.96443000,932454704.10136900,0
2021-01-15,1231.89,1256.98,1069.42,1168.53,1944038.83738,1610755199999,2302781118.95873940,1519266,966118.73281000,1145518024.49123220,0
2021-01-16,1168.48,1298.0,1151.77,1227.83,1575384.43797,1610841599999,1927453174.61179310,1252473,804431.16803000,984555467.09145990,0
2021-01-17,1227.83,1269.02,1165.0,1232.45,1317285.00579,1610927999999,1606424364.49704180,1121278,665250.50449000,811881943.45552540,0
2021-01-18,1232.5,1260.75,1182.58,1258.45,998050.11073,1611014399999,1223628040.73726070,940604,499759.24002000,613148505.56560630,0
2021-01-19,1258.52,1438.3,1251.49,1365.36,2278852.55758,1611100799999,3120980923.93030880,1840481,1158029.40293000,1585793803.66076070,0
2021-01-20,1365.36,1407.93,1235.42,1376.99,2219137.62144,1611187199999,2931656296.46700050,1852253,1103381.08760000,1459031149.78985600,0
2021-01-21,1376.72,1390.0,1086.0,1110.96,2254164.80365,1611273599999,2787012514.78097050,1823458,1088341.96818000,1346852630.20308530,0
2021-01-22,1111.98,1273.79,1042.31,1232.62,2020593.21673,1611359999999,2360267831.31755460,1652010,1036188.85921000,1212076603.47097220,0
2021-01-23,1232.61,1272.44,1195.9,1233.6,1009545.08258,1611446399999,1250575691.76273060,932871,505750.89704000,626781286.58099590,0
2021-01-24,1233.46,1398.83,1220.0,1392.51,1510879.53817,1611532799999,1996765627.54051920,1313986,790374.50924000,1045052388.63841560,0
2021-01-25,1392.19,1475.0,1293.69,1317.88,1885441.31289,1611619199999,2644267236.89718770,1661512,943347.25829000,1324815913.98590850,0
2021-01-26,1317.6,1378.49,1244.56,1365.97,1682923.65799,1611705599999,2216751668.39271260,1423178,856659.30135000,1128968367.85389060,0
2021-01-27,1366.54,1373.9,1207.0,1239.03,2009772.08358,1611791999999,2554649901.07484460,1737296,997748.24567000,1268777717.49710370,0
2021-01-28,1238.93,1360.0,1217.23,1329.69,1365269.71962,1611878399999,1790490878.19379420,1275024,702526.23919000,922191761.36835110,0
2021-01-29,1329.44,1436.9,1285.35,1379.5,2253963.18682,1611964799999,3077996801.23176560,1714076,1126572.38403000,1539947796.20749350,0
